"text","sentiment","polarity","subjectivity"
b'RT @Prakashplutus: World knows about my view on HDFC bank &amp; SBI.\nHDFC : Bullish \nSBI : Bearish \n\nIn prop- PMS we bought in HDFC bank fut @\xe2\x80\xa6',negative,0.0,0.0
b'@HDFC_Bank One more reminder for my credit card issue',positive,0.5,0.5
b'@HDFC_Bank \nI try to contact customers care even bank but no one helping me how to apply moratorium on credit card ..\n\nKindly help me ..',positive,0.6,0.9
"b'HDFC Bank adds 250,000 customers via instant account opening in lockdown https://t.co/v0p5We2ASu'",negative,0.0,0.6666666666666666
b'@HDFCBank_Cares\nHdfc charged me with Financial charges even though I paid all the bills on time and also moratorium\xe2\x80\xa6 https://t.co/nkb5MLFBBD',negative,0.0,0.0
b'#HDFC CONGRATULATIONS. PUBLIC DOMAIN SERVERS ARE STILL IN COVID 19 AND FURTHER INFECTED TO 70 YRARS SLOW DOWN SYSTE\xe2\x80\xa6 https://t.co/JKfsufwYoM',negative,-0.1138888888888889,0.3138888888888889
"b'Expect things to return to normal in next 90 days: Arvind Kapil, HDFC Bank - Livemint https://t.co/FpL4U7mi0g'",positive,0.075,0.32499999999999996
"b'RT @HDFCBankNews: Watch @dintya15, CEO - @CSCegov_  speak to @SmitaHDFCBank, Country Head - Govt. &amp; Institutional Business, E-Commerce &amp; St\xe2\x80\xa6'",negative,0.0,0.0
b'@HDFCBank_Cares @HDFC_Bank  i have purchased iphone 11 in the month of January till date i have not recieved 6k cashback As per offer .',negative,0.0,0.0
b'@HDFC_Bank Many time I have tried for credit card but they dont respond why',positive,0.5,0.5
"b'@HDFC_Bank It has been 5 days I applied for moratorium, even my EMI has deducted. What are you doing about it #hdfcbank ??'",negative,0.0,0.0
b'@HDFCBank_Cares @HDFC_Bank  How can someone be so irresponsible??? HDFC cares responds to almost everyone but I hav\xe2\x80\xa6 https://t.co/HPn4vu8ObF',negative,0.0,0.0
"b'RT @indiaistore: More power. More performance. More pro. \nGet  \xe2\x82\xb97,000 cashback on HDFC Bank Cards and Easy EMI.\nT&amp;C apply.'",positive,0.48333333333333334,0.5833333333333334
"b'@HDFCBank_Cares @HDFC_Bank I have applied for Moratorium 2 and dedcut my EMi today, plz process to refund https://t.co/pMRKErtvYl'",negative,0.0,0.0
b'@HDFCBank_Cares I was trying to add \xe2\x82\xb92000 to my PayZapp wallet using a HDFC Credit Card. The amount got deducted (w\xe2\x80\xa6 https://t.co/6zRtwZaMJ0',negative,0.0,0.0
"b""@tokumarshyam @HomeLoansByHDFC @RBI Hello Shyam ji, I had the same query. But, @CarebyHDFC_HL said that RBI doesn't\xe2\x80\xa6 https://t.co/41KzPozE05""",negative,0.0,0.125
b'@HDFCBank_Cares @HDFC_Bank \nWhat is wrong with u guys ???\nIts been almost a month that i have been following up on\xe2\x80\xa6 https://t.co/Wv2yws9cDM',negative,-0.25,0.5
"b'@CarebyHDFC_HL @HomeLoansByHDFC #Home loan already approved on 31.03.20 # File no.650201991,seller is forcing day t\xe2\x80\xa6 https://t.co/FVvPdS9FBv'",negative,0.0,0.0
b'@lib_nationalist @121varma @PMOIndia @narendramodi You forget about HDFC&gt; 3*SBI.',negative,0.0,0.0
"b'#AskAwaazMF sir request you to kindly advise on the following funds I am holding, shall hold it or quit?\n1. HDFC BA\xe2\x80\xa6 https://t.co/Feul4oTMkM'",positive,0.3,0.5
"b'@HomeLoansByHDFC #Home loan already approved on 31.03.20 # File no.650201991,seller is forcing day to day for regis\xe2\x80\xa6 https://t.co/nfWxsPgBlB'",negative,0.0,0.0
b'Home loan rates compared: #SBI vs PNB vs #HDFC vs #ICICIBank https://t.co/vU4eCFsExN',negative,0.0,0.0
b'@HDFCBank_Cares @HDFC_Bank @HDFCBank_Cares @HDFC_Bank What is this harrasment? Its been a more than a week why is m\xe2\x80\xa6 https://t.co/maRn6c8sft',positive,0.5,0.5
b'@RBI  @ICICIBank @HDFC_Bank @BankofIndia_IN  Dear sir I want to set up my own business can I have a business loan f\xe2\x80\xa6 https://t.co/DKJ5XDjY3Y',positive,0.6,1.0
b'@rblbank @RBLBankCares @HDFC_Bank @HDFCBank_Cares doing this type of activity https://t.co/u1pWk72N6c',negative,0.0,0.0
b'HDFC Bank nets 2.5 lakh new customers through instant account opening in lockdown #hdfc #IndiaFightsCorona\xe2\x80\xa6 https://t.co/0hYQKTzZSI',positive,0.06818181818181818,0.5606060606060606
"b""RT @HDFCBankNews: In the next episode of 'Untold Stories', Sameer Ratolikar, Chief Information Security Officer, @HDFC_Bank, talks about th\xe2\x80\xa6""",negative,0.0,0.0
"b'RT @Ajaya_buddy: HDFC Bank nets 2.5 lakh new customers through instant account opening in lockdown\n\xc2\xa0 \xc2\xa0 Mumbai, Jun 7 (PTI)'",positive,0.06818181818181818,0.5606060606060606
"b'@mybmcWardC We are at Pankaj market in Champa gally x lane..no retail buisness ,only private offices ,manufacturers\xe2\x80\xa6 https://t.co/mCeQChYcxp'",negative,0.0,0.6875
b'@dmuthuk Uday kotak succeeded in building the Kotak Mahindra Group. \n\nDeepak Parekh and his hand picked Management\xe2\x80\xa6 https://t.co/iDIky5lVsM',negative,0.0,0.0
