"text","sentiment","polarity","subjectivity"
b'RT @stocks_in: Home loan rates compared: #SBI vs PNB vs #HDFC vs #ICICIBank https://t.co/vU4eCFsExN',negative,0.0,0.0
b'@policybazaar Policy details are -22548047 hdfc life 2 wealth and 22560254 hdfc life sanchy.\n\nReagards\n\nSameer Mishra\xc2\xa0\n\n9959607700',negative,0.0,0.0
"b'What to buy? HDFC Bank, Aegis among top 3 stocks that could give 10-19% returns: Rajesh Palviya - [Economic Outlook\xe2\x80\xa6 https://t.co/mMrDfKTx8k'",positive,0.35,0.35
"b""@vinayakmulsoft @RBI @UnionBankTweets @HDFC_Bank That's hilarious \xf0\x9f\x98\x82""",positive,0.5,1.0
b'HDFC Bank Ltd. - At 50% Fib Level with a hint of BULLISHNESS!! - #HDFCBANK chart https://t.co/KLjBbB2yQd',negative,0.0,0.0
"b'RT @Vivo_India: Taller the tree, the wider the frame.\n@aamir_khan has a way out with the 105\xc2\xb0 Super Wide Angle Selfie on #vivoV19 to fit yo\xe2\x80\xa6'",positive,0.2111111111111111,0.48888888888888893
b'@HDFCBank_Cares @HDFC_Bank redeemed points for insta voucher hours ago. Still not received. Why insta when they don\xe2\x80\xa6 https://t.co/9xIlKjSbq3',negative,0.0,0.0
b'@ac_jani @HDFC_Bank @RBI they have worst services',negative,-1.0,1.0
"b'@nawabnabeel Sir,\nI like your content and appreciate your efforts. I m facing a issue with HDFC bank app on my ipho\xe2\x80\xa6 https://t.co/R3NTvY0NPm'",negative,0.0,0.0
"b'@ugot2beammeup @RRaaavvv @HDFCLIFE IRDAI is also not in position to resolve issues with HDFC life, they merely refe\xe2\x80\xa6 https://t.co/M92xoj4XIw'",negative,-0.5,0.5
b'@HDFC_Bank @HDFCBank_Cares @HDFCBankNews help me enrolling the moratorium 2.0\n#EMIMoratorium https://t.co/QCMQDDDSgx',negative,0.0,0.0
"b'#IndiaNeedsPSBs Therefore, like 1969, nationalised HDFC, ICICI and Axis Bank.\n#949Days'",negative,0.0,0.0
"b'RT @flywithsid: Its Live, Your dreams are crushed!\n\nHDFC 10X Rewards Program now becomes less attractive. Here are all the details, with Ju\xe2\x80\xa6'",positive,0.16742424242424242,0.41666666666666663
b'@HDFC_Bank  dear sir my name PARMAR NAEESHBHAI My emi moritoriom not receive March month amount My loan number 7791232',negative,0.0,0.0
b'@Ravi50613046 @HDFC_Bank @HDFCBank_Cares @SmitaHDFCBank Dear HDFC team please check it and resolve it immediately..\xe2\x80\xa6 https://t.co/p8SSIdyTaG',negative,0.0,0.0
"b'If index gets weak, my first choice of shorts will be HDFC. \n\nIf index continues to be strong, I will be long in RI\xe2\x80\xa6 https://t.co/eMgRtNriDf'",positive,0.06458333333333333,0.5229166666666666
b'@HDFC_Bank fucking bank plz my frnds my brothers and my Indian people plz dont use HDFC bank because they no only t\xe2\x80\xa6 https://t.co/HyO83CrJDB',negative,-0.3,0.9
"b""RT @HomeLoansByHDFC: As you're waiting indoors till it\xe2\x80\x99s safe to step out, why not use this time to get started on your plan of owning a ho\xe2\x80\xa6""",positive,0.5,0.5
b'@HDFC_Bank I am getting a run around for my checque book to be delivered to a nearest branch near my work place. It\xe2\x80\xa6 https://t.co/aodftc4OsE',positive,0.1,0.4
b'@HDFC_Bank  dear sir my moritoriom emi March month not received refund',negative,0.0,0.0
"b""SBI head's annual remuneration stood at Rs 29,53,750 and that of HDFC paid its chief executive officer over Rs 55 c\xe2\x80\xa6 https://t.co/1TmcYjDOBw""",negative,0.0,0.0
b'Hello @HDFC_Bank  I have buy iPhone 11 on Hdfc debit card 10/01/2020. My Cashback 6000 Rupees Not Received till dat\xe2\x80\xa6 https://t.co/ZNfQQTeq6H',negative,0.0,0.0
b'@oneplus @HDFC_Bank @OnePlus_Support @OnePlus_IN @BlueDart_ @HDFC_Bank I was cancel my order 22 may but refund not\xe2\x80\xa6 https://t.co/tIG4RRFXRR',negative,0.0,0.0
"b'RT @indiaistore: Light. Speed. \nAvailable at your nearest Apple Authorized Reseller.\nGet \xe2\x82\xb96,000 cashback on HDFC Bank Cards and Easy EMI. T\xe2\x80\xa6'",positive,0.41111111111111115,0.6444444444444445
b'RT @ReportsVak: HDFC Bank nets 2.5 lakh new customers through instant account opening in lockdown\n\n#hdfcbank #savings #Lockdown5 #Banking',positive,0.06818181818181818,0.5606060606060606
b'RT @dmuthuk: Both HDFC and Kotak group are good. I would still rate HDFC group of companies a notch above; they have become institutions wi\xe2\x80\xa6',positive,0.35,0.35000000000000003
